Store,Dept,RMSE,MAE
10,22,2839.05247451,2068.46125122
10,23,8757.77030728,5442.46835584
10,24,4368.81112794,2885.65763715
10,25,2700.95616795,2262.37874412
10,26,2341.43125875,1737.45316887
10,27,719.393726563,443.51492063
10,28,192.878166659,160.299990627
10,29,2141.19539948,1408.53465766
10,30,1170.30099971,917.791651862
10,31,1981.98326394,1530.69175734
10,32,5640.93323884,3296.12117712
10,33,4469.23309579,3095.51486332
10,34,5302.99552864,3734.32466776
10,35,1730.57262065,1404.90666041
10,36,1193.03335519,865.57449022
10,37,369.923634593,295.072956264
10,38,9369.18248152,7732.57136317
10,40,4599.15992477,3683.62561936
10,41,5202.20681354,4704.02369704
10,42,836.352360105,598.360327004
10,44,900.95534553,724.105374508
10,45,18.0064309379,14.1920820734
10,46,4391.32674959,2894.53430721
10,47,172.317088871,110.202477059
10,48,1336.23453446,1031.93450548
10,49,2304.07566492,1883.27549229
10,51,9.78297150766,7.14245682846
10,52,1234.25439976,1021.39436169
10,54,111.881281315,82.7237862633
10,55,5702.21562471,3455.58958837
10,56,629.817800526,444.091998386
10,58,1774.55034446,1363.75650492
10,59,6956.61423292,6747.93940243
10,60,184.092858022,142.285616112
10,67,3097.13323069,2278.93228709
10,71,2447.64252239,2052.8029699
10,72,38791.0287698,24563.6429353
10,74,2861.35358979,2331.59755488
10,77,64.6891864413,49.8995712692
10,78,2.13557909557,1.61775633202
10,79,4859.48719317,3295.16521939
10,80,712.924605792,650.735944095
10,81,703.113692279,604.684265076
10,82,4279.47008721,2117.31683935
10,83,156.612514976,140.789741345
10,85,1063.03712874,979.083876713
10,87,3773.7033993,3037.5457191
10,90,852.949192621,671.145415899
10,91,992.836950119,784.090639972
10,92,2544.58605497,2073.33915141
10,93,371.676003671,325.274803243
10,94,685.617636818,427.852786135
10,95,3030.70195898,2436.37751076
10,96,1008.35720421,792.074746234
10,97,374.148198209,309.606078698
10,98,188.915595716,119.283236465
10,99,0.0,0.0
10,39,0.0,0.0
10,50,412.647321166,345.56357458
10,43,0.0,0.0
10,65,0.0,0.0
11,1,6507.21311766,4094.60116085
11,2,8726.91520453,7667.25619494
11,3,4379.13668241,2721.82397316
11,4,1661.6751908,1349.05612735
11,5,8179.72681126,6345.9954069
11,6,1906.761596,1565.76202763
11,7,13351.826849,7612.2678788
11,8,1733.2890418,1359.55288485
11,9,2563.50653055,1920.39914583
11,10,3030.38087847,2483.71821927
